INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-09-05 06:30:08', 'Desativado', '2023-01-16 16:42:59', 1);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-10-18 06:32:45', 'Ativo', '2023-04-11 12:14:52', 19);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-08-24 18:59:01', 'Desativado', '2023-09-25 05:57:22', 20);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-04-19 04:27:15', 'Desativado', '2023-06-21 02:40:59', 21);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-05-03 23:14:07', 'Desativado', '2023-12-09 22:14:12', 22);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-09-03 12:37:23', 'Ativo', '2023-08-06 09:38:54', 23);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-08-26 22:36:21', 'Ativo', '2023-05-23 05:58:14', 24);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-04-16 17:34:47', 'Ativo', '2023-05-18 23:26:51', 25);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-28 17:47:50', 'Desativado', '2023-07-19 20:34:57', 26);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-02-28 06:44:12', 'Desativado', '2023-12-06 00:55:20', 27);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-01-25 01:59:54', 'Ativo', '2023-07-05 04:07:03', 28);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-11-24 13:33:06', 'Desativado', '2023-05-04 02:31:47', 29);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-08 06:44:00', 'Ativo', '2023-11-07 22:44:04', 30);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-08-09 19:10:55', 'Ativo', '2023-02-11 19:39:06', 31);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-03-21 10:05:46', 'Ativo', '2023-12-16 17:31:08', 32);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-05 13:53:02', 'Desativado', '2023-03-26 18:29:55', 33);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-01 10:06:57', 'Desativado', '2023-09-16 20:24:24', 34);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-27 23:45:57', 'Ativo', '2023-10-22 09:10:17', 35);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-01-05 06:40:53', 'Desativado', '2023-03-11 19:41:05', 36);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-01-13 18:47:30', 'Ativo', '2023-08-13 08:20:56', 37);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-06-26 21:54:09', 'Ativo', '2023-04-03 08:15:37', 38);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-01-10 19:07:33', 'Desativado', '2023-09-14 06:47:15', 39);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-27 21:54:16', 'Desativado', '2023-09-01 04:59:08', 40);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-02-19 09:43:49', 'Desativado', '2023-10-28 13:05:59', 41);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-06-11 19:50:47', 'Ativo', '2023-06-28 02:59:35', 42);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-14 14:46:43', 'Desativado', '2023-09-11 13:51:52', 43);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-01-23 22:41:59', 'Ativo', '2023-01-13 03:00:52', 44);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-05-04 05:57:43', 'Desativado', '2023-10-23 22:57:23', 45);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-03-21 14:04:11', 'Ativo', '2023-02-14 15:14:35', 46);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-23 14:00:55', 'Ativo', '2023-07-14 01:50:02', 47);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-07-07 21:52:53', 'Desativado', '2023-04-02 18:25:02', 48);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-11-11 20:42:10', 'Desativado', '2023-08-20 07:32:39', 49);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-11-05 08:32:09', 'Desativado', '2023-07-21 15:47:38', 50);
