INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-10-11 21:01:38', 12);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-17 21:01:38', 27);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-29 21:01:38', 27);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-29 21:01:38', 19);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-10-01 21:01:38', 17);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-09-20 21:01:38', 46);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-06 21:01:38', 15);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-30 21:01:38', 46);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-10-14 21:01:38', 39);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-09-25 21:01:38', 36);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-10-01 21:01:38', 21);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-10-14 21:01:38', 14);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-10-14 21:01:38', 32);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-10-08 21:01:38', 48);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-10-07 21:01:38', 13);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-01 21:01:38', 5);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-17 21:01:38', 36);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-21 21:01:38', 2);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-08 21:01:38', 16);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-09-22 21:01:38', 37);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-12 21:01:38', 21);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-30 21:01:38', 2);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-19 21:01:38', 10);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-19 21:01:38', 4);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-18 21:01:38', 27);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-10-12 21:01:38', 15);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-09-28 21:01:38', 23);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-26 21:01:38', 18);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-06 21:01:38', 47);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-09-21 21:01:38', 19);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-09-26 21:01:38', 3);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-10-07 21:01:38', 17);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-28 21:01:38', 50);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-10-13 21:01:38', 33);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-28 21:01:38', 3);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-09-27 21:01:38', 30);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-06 21:01:38', 45);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-10-01 21:01:38', 5);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-20 21:01:38', 37);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-10-16 21:01:38', 18);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-30 21:01:38', 17);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-17 21:01:38', 32);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-20 21:01:38', 20);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-09-28 21:01:38', 36);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-09-27 21:01:38', 33);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-26 21:01:38', 19);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-10-06 21:01:38', 6);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-10-02 21:01:38', 40);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-19 21:01:38', 13);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-19 21:01:38', 33);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-10-06 21:01:38', 30);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-17 21:01:38', 9);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-10-03 21:01:38', 46);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-12 21:01:38', 37);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-21 21:01:38', 27);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-24 21:01:38', 39);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-28 21:01:38', 33);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-27 21:01:38', 23);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-09-23 21:01:38', 9);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-09-20 21:01:38', 26);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-10-11 21:01:38', 9);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-09-23 21:01:38', 32);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-13 21:01:38', 35);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-17 21:01:38', 9);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-06 21:01:38', 13);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-10-06 21:01:38', 27);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-10-13 21:01:38', 16);
