INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (1, 0, 51.94, '2023-06-07', 4, 92, 'Pagina 1');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (14, 0, 53.22, '2023-06-07', 9, 45, 'Pagina 14');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (15, 1, 13.88, '2023-06-07', 10, 8, 'Pagina 15');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (16, 0, 36.04, '2023-06-07', 7, 97, 'Pagina 16');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (17, 1, 25.55, '2023-06-07', 8, 67, 'Pagina 17');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (18, 0, 36.88, '2023-06-07', 8, 62, 'Pagina 18');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (19, 1, 31.83, '2023-06-07', 2, 3, 'Pagina 19');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (20, 0, 21.59, '2023-06-07', 8, 94, 'Pagina 20');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (21, 1, 23.11, '2023-06-07', 10, 12, 'Pagina 21');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (22, 1, 19.01, '2023-06-07', 7, 66, 'Pagina 22');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (23, 0, 39.88, '2023-06-07', 5, 75, 'Pagina 23');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (24, 1, 51.04, '2023-06-07', 1, 73, 'Pagina 24');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (25, 0, 35.3, '2023-06-07', 4, 89, 'Pagina 25');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (26, 1, 36.13, '2023-06-07', 5, 83, 'Pagina 26');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (27, 0, 12.75, '2023-06-07', 3, 59, 'Pagina 27');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (28, 1, 1.72, '2023-06-07', 7, 84, 'Pagina 28');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (29, 0, 2.88, '2023-06-07', 10, 46, 'Pagina 29');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (30, 1, 20.51, '2023-06-07', 4, 18, 'Pagina 30');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (31, 0, 44.99, '2023-06-07', 10, 85, 'Pagina 31');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (32, 1, 10.87, '2023-06-07', 8, 82, 'Pagina 32');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (33, 0, 32.01, '2023-06-07', 7, 86, 'Pagina 33');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (34, 1, 39.7, '2023-06-07', 2, 20, 'Pagina 34');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (35, 1, 49.57, '2023-06-07', 3, 49, 'Pagina 35');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (36, 0, 36.98, '2023-06-07', 7, 84, 'Pagina 36');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (37, 0, 45.0, '2023-06-07', 9, 26, 'Pagina 37');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (38, 1, 8.61, '2023-06-07', 7, 41, 'Pagina 38');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (39, 1, 32.33, '2023-06-07', 7, 60, 'Pagina 39');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (40, 0, 42.47, '2023-06-07', 5, 57, 'Pagina 40');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (41, 1, 54.86, '2023-06-07', 4, 53, 'Pagina 41');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (42, 0, 44.43, '2023-06-07', 1, 62, 'Pagina 42');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (43, 0, 42.5, '2023-06-07', 7, 49, 'Pagina 43');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (44, 1, 30.03, '2023-06-07', 10, 27, 'Pagina 44');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (45, 0, 33.52, '2023-06-07', 5, 37, 'Pagina 45');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (46, 0, 10.79, '2023-06-07', 7, 34, 'Pagina 46');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (47, 0, 44.82, '2023-06-07', 10, 94, 'Pagina 47');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (48, 0, 47.99, '2023-06-07', 6, 84, 'Pagina 48');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (49, 0, 17.34, '2023-06-07', 9, 22, 'Pagina 49');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (50, 1, 22.52, '2023-06-07', 10, 97, 'Pagina 50');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (51, 0, 13.45, '2023-06-07', 1, 9, 'Pagina 51');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (52, 1, 30.38, '2023-06-07', 9, 21, 'Pagina 52');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (53, 0, 8.43, '2023-06-07', 7, 88, 'Pagina 53');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (54, 1, 56.12, '2023-06-07', 6, 31, 'Pagina 54');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (55, 1, 24.38, '2023-06-07', 10, 20, 'Pagina 55');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (56, 1, 33.32, '2023-06-07', 9, 14, 'Pagina 56');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (57, 1, 19.39, '2023-06-07', 4, 95, 'Pagina 57');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (58, 0, 14.76, '2023-06-07', 10, 88, 'Pagina 58');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (59, 1, 8.68, '2023-06-07', 6, 27, 'Pagina 59');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (60, 0, 44.39, '2023-06-07', 8, 78, 'Pagina 60');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (61, 1, 40.29, '2023-06-07', 1, 91, 'Pagina 61');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (62, 0, 49.27, '2023-06-07', 8, 23, 'Pagina 62');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (63, 0, 21.03, '2023-06-07', 8, 45, 'Pagina 63');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (64, 0, 37.54, '2023-06-07', 10, 77, 'Pagina 64');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (65, 0, 17.28, '2023-06-07', 2, 14, 'Pagina 65');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (66, 0, 27.09, '2023-06-07', 6, 53, 'Pagina 66');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (67, 0, 25.32, '2023-06-07', 5, 35, 'Pagina 67');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (68, 0, 19.75, '2023-06-07', 8, 37, 'Pagina 68');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (69, 0, 13.54, '2023-06-07', 7, 98, 'Pagina 69');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (70, 0, 50.12, '2023-06-07', 3, 9, 'Pagina 70');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (71, 1, 31.66, '2023-06-07', 6, 15, 'Pagina 71');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (72, 0, 24.26, '2023-06-07', 3, 63, 'Pagina 72');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (73, 1, 31.74, '2023-06-07', 7, 32, 'Pagina 73');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (74, 1, 17.35, '2023-06-07', 2, 86, 'Pagina 74');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (75, 0, 42.2, '2023-06-07', 6, 67, 'Pagina 75');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (76, 0, 9.3, '2023-06-07', 5, 52, 'Pagina 76');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (77, 0, 38.95, '2023-06-07', 7, 4, 'Pagina 77');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (78, 1, 4.64, '2023-06-07', 9, 12, 'Pagina 78');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (79, 0, 51.31, '2023-06-07', 7, 36, 'Pagina 79');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (80, 0, 36.61, '2023-06-07', 1, 81, 'Pagina 80');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (81, 1, 54.97, '2023-06-07', 9, 91, 'Pagina 81');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (82, 0, 50.34, '2023-06-07', 9, 51, 'Pagina 82');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (83, 0, 7.81, '2023-06-07', 10, 80, 'Pagina 83');
