INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-05-18', 'Cancelado', 37, 7, 16, 204.61);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-09-28', 'Cancelado', 17, 5, 23, 979.33);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-02-11', 'Pendente', 13, 3, 10, 934.32);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-03-20', 'Cancelado', 6, 13, 12, 898.95);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-04-25', 'Confirmado', 26, 2, 4, 194.43);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-09-13', 'Cancelado', 1, 6, 33, 529.01);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-04-17', 'Pendente', 45, 5, 20, 639.62);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-12-04', 'Confirmado', 6, 3, 28, 457.9);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-02-27', 'Cancelado', 47, 15, 44, 520.03);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-12-16', 'Cancelado', 32, 11, 26, 484.83);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-12-23', 'Pendente', 41, 3, 16, 778.36);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-12-16', 'Cancelado', 14, 4, 40, 817.61);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-05-08', 'Cancelado', 43, 4, 40, 919.89);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-10-06', 'Cancelado', 17, 2, 39, 568.31);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-05-24', 'Confirmado', 19, 6, 25, 125.95);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-08-25', 'Cancelado', 7, 10, 46, 751.77);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-12-20', 'Pendente', 33, 3, 14, 744.22);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-08-12', 'Confirmado', 3, 13, 25, 496.35);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-07-11', 'Cancelado', 16, 3, 41, 849.03);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-12-27', 'Pendente', 49, 14, 15, 692.91);
