INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Retratos do evento', 'Registros dos melhores momentos da vida.', 26, 5);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aventuras pelo Mundo', 'Registros dos melhores momentos da vida.', 37, 1);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Momentos Especiais', 'Momentos únicos capturados para a eternidade.', 38, 3);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aventuras pelo Mundo', 'Registros dos melhores momentos da vida.', 38, 1);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aventuras pelo Mundo', 'Registros dos melhores momentos da vida.', 39, 2);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aniversario do cunhado', 'Momentos únicos capturados para a eternidade.', 39, 1);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Casamento da filha', 'Momentos únicos capturados para a eternidade.', 40, 4);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aniversario do cunhado', 'Registros dos melhores momentos da vida.', 40, 1);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Retratos do evento', 'Um álbum repleto de memórias incríveis.', 41, 6);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Casamento da filha', 'Registros dos melhores momentos da vida.', 41, 2);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aniversario do cunhado', 'Um álbum repleto de memórias incríveis.', 42, 3);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Casamento da filha', 'Melhor dia da minha vida', 42, 4);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Retratos do evento', 'Um álbum repleto de memórias incríveis.', 43, 4);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aventuras pelo Mundo', 'Momentos únicos capturados para a eternidade.', 43, 4);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Momentos Especiais', 'Registros dos melhores momentos da vida.', 44, 2);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aventuras pelo Mundo', 'Momentos únicos capturados para a eternidade.', 44, 6);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aventuras pelo Mundo', 'Momentos únicos capturados para a eternidade.', 45, 1);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aventuras pelo Mundo', 'Um álbum repleto de memórias incríveis.', 45, 2);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Retratos do evento', 'Um álbum repleto de memórias incríveis.', 46, 5);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Retratos do evento', 'Momentos únicos capturados para a eternidade.', 46, 6);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aniversario do cunhado', 'Um álbum repleto de memórias incríveis.', 47, 4);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Momentos Especiais', 'Registros dos melhores momentos da vida.', 47, 1);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Retratos do evento', 'Registros dos melhores momentos da vida.', 48, 6);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Momentos Especiais', 'Registros dos melhores momentos da vida.', 48, 5);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Casamento da filha', 'Momentos únicos capturados para a eternidade.', 49, 5);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Retratos do evento', 'Melhor dia da minha vida', 49, 1);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aniversario do cunhado', 'Registros dos melhores momentos da vida.', 50, 1);
INSERT INTO tb_album (titulo, descricao, fk_fotografo, fk_tema) VALUES ('Aniversario do cunhado', 'Registros dos melhores momentos da vida.', 50, 2);
